,0
0,2.403523882692114
1,2.1320398086665233
2,1.9454412215872117
3,1.936705024006207
4,1.8147547216465953
5,1.8353425906620338
6,1.7933843536843759
7,1.7866870598664648
8,1.8166527630909461
9,1.7594454755467082
10,1.6895616970585767
11,1.716930229279009
12,1.7225047583990793
13,1.7081074470630675
14,1.6643549034004623
15,1.6858790778103072
16,1.6715044478131174
17,1.6617102832841337
18,1.6803282171447904
19,1.6663187690475352
20,1.73545236169362
21,1.6726908402308316
22,1.6657049302471474
23,1.6658934507470793
24,1.6511768549176589
25,1.6574141502736954
26,1.6702085299169709
27,1.658576387993926
28,1.659640953550668
