0,1,2,3,4,5,6,7,8,9
2_2_1_10,2_2_1_9,2_2_1_8,1_1_1_6,2_2_1_7,1_2_1_10,2_2_2_10,2_2_1_6,2_2_2_9,2_2_2_8
0.426,0.325,0.176,0.053,0.019,0.0,0.0,0.0,0.0,0.0
1_2_2_10,2_1_1_6,1_1_1_7,1_1_1_4,1_1_2_4,2_3_2_10,2_3_2_9,1_2_1_1,2_3_2_6,1_1_1_8
0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_2_2_5,2_2_2_4,2_2_2_6,2_2_2_3,2_2_2_7,2_2_2_2,2_2_2_8,2_2_2_10,2_2_2_9,2_2_1_10
0.322,0.253,0.153,0.138,0.07,0.02,0.019,0.013,0.011,0.0
2_3_1_5,2_3_1_4,2_3_1_6,1_2_2_2,2_3_2_7,2_3_2_8,2_2_2_10,1_2_2_1,2_2_2_9,2_2_2_8
0.277,0.272,0.223,0.083,0.037,0.033,0.032,0.025,0.015,0.001
2_2_1_3,2_2_1_4,2_2_1_2,2_2_1_5,2_2_1_1,2_2_1_6,2_2_1_7,2_2_1_8,2_2_2_5,2_2_2_3
0.31,0.221,0.213,0.099,0.089,0.043,0.015,0.004,0.002,0.001
1_3_1_8,1_3_1_7,1_3_1_6,1_3_1_9,1_3_1_10,1_3_1_5,2_2_2_2,1_3_1_4,1_3_1_3,2_2_2_1
0.142,0.141,0.135,0.112,0.103,0.093,0.07,0.055,0.052,0.042
1_2_1_10,1_2_1_6,1_2_1_5,1_2_1_9,1_2_1_8,1_2_1_7,1_2_1_4,2_1_1_9,2_1_1_8,2_1_1_7
0.146,0.146,0.146,0.145,0.137,0.134,0.068,0.02,0.018,0.016
2_2_1_6,2_2_1_5,2_2_1_7,2_2_1_4,2_2_1_8,2_2_1_9,2_2_1_3,2_2_2_10,2_2_2_9,2_2_2_8
0.257,0.257,0.213,0.119,0.111,0.042,0.0,0.0,0.0,0.0
1_2_2_9,1_2_2_8,1_2_2_7,1_2_2_6,1_2_2_5,1_2_2_10,1_1_2_8,1_1_2_9,1_2_2_4,1_2_2_3
0.232,0.224,0.203,0.178,0.076,0.059,0.011,0.009,0.007,0.0
1_2_2_4,1_2_2_5,1_2_2_3,1_3_2_9,1_2_2_6,1_3_2_8,1_3_2_7,1_3_2_10,1_3_2_5,1_3_2_6
0.244,0.203,0.162,0.066,0.062,0.061,0.052,0.046,0.045,0.037
2_2_2_9,2_2_2_8,2_2_2_10,2_2_2_6,2_2_2_7,2_2_2_5,2_2_2_4,2_2_2_3,2_2_2_2,2_2_1_10
0.212,0.205,0.198,0.197,0.18,0.007,0.0,0.0,0.0,0.0
1_2_1_3,2_3_1_7,1_2_1_2,1_2_1_4,2_3_1_9,2_3_1_10,2_3_1_8,1_2_1_5,1_1_2_6,1_2_2_5
0.182,0.138,0.125,0.124,0.124,0.121,0.109,0.031,0.014,0.009
